COURSE,Unnamed: 1,TITLE,ACP,CS,COMP1,HUM,NAT,QR,SBS,Year,Term,TermYear,Average_GPA
ANSC 120,,The Art and Ethics of Animal Documentaries,,,,LA,,,,2026,Spring,2026-sp,3.76
ART 100,,Understanding Visual Culture,,,,LA,,,,2026,Spring,2026-sp,3.42
ART 140,,Introduction to Art,,,,LA,,,,2026,Spring,2026-sp,3.2
ARTH 110,,Introduction to the History of Art and Visual Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.33
ARTH 212,,East Asian Art History,,NW,,LA,,,,2026,Spring,2026-sp,
ARTH 220,,African Arts and Architecture,,NW,,LA,,,,2026,Spring,2026-sp,
ARTH 241,,"Modern Art, 1880-1940",,,,LA,,,,2026,Spring,2026-sp,3.32
ARTH 242,,Art Since 1940,,,,LA,,,,2026,Spring,2026-sp,3.36
ARTJ 301,,Manga: The Art of Image and Word,,NW,,LA,,,,2026,Spring,2026-sp,3.74
ARTS 220,,Introduction to Fashion,,,,LA,,,,2026,Spring,2026-sp,3.76
ASST 208,,Cultures & Literatures of South Asia,,NW,,LA,,,,2026,Spring,2026-sp,
CLCV 114,,Introduction to Ancient Greek Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.09
CLCV 115,,Mythology of Greece and Rome,,WCC,,LA,,,,2026,Spring,2026-sp,3.48
CLCV 120,,The Classical Tradition,,WCC,,LA,,,,2026,Spring,2026-sp,3.52
CLCV 220,,Exploring the Greek and Roman World,,WCC,,LA,,,,2026,Spring,2026-sp,3.3
CLCV 221,,Odysseus and Other Heroes,,WCC,,LA,,,,2026,Spring,2026-sp,3.02
CLCV 224,,Greco-Roman Antiquity and US Minority Cultures,,US,,LA,,,,2026,Spring,2026-sp,3.8
CLCV 240,,Gender & Sexuality in Greco-Roman Antiquity,,WCC,,LA,,,,2026,Spring,2026-sp,3.4
CLCV 323,,The Comic Imagination,ACP,WCC,,LA,,,,2026,Spring,2026-sp,3.21
CW 100,,Intro to Creative Writing,,,,LA,,,,2026,Spring,2026-sp,3.62
CWL 111,,Bible as Literature,,,,LA,,,,2026,Spring,2026-sp,
CWL 114,,Global Consciousness and Lit,,NW,,LA,,,,2026,Spring,2026-sp,3.47
CWL 117,,Russ & E Euro Science Fiction,,,,LA,,,,2026,Spring,2026-sp,
CWL 119,,Literature of Fantasy,,,,LA,,,,2026,Spring,2026-sp,
CWL 151,,Cross-Cultural Thematics,,,,LA,,,,2026,Spring,2026-sp,3.71
CWL 189,,Literatures of the Islamic World,,NW,,LA,,,,2026,Spring,2026-sp,3.5
CWL 190,,Modern Asian and African Literatures,,NW,,LA,,,,2026,Spring,2026-sp,3.14
CWL 201,,Comparative Lit Studies,,,,LA,,,,2026,Spring,2026-sp,
CWL 202,,Literature and Ideas,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 207,,Indian Cinema in Context,,NW,,LA,,,,2026,Spring,2026-sp,3.87
CWL 208,,Cultures & Literatures of South Asia,,NW,,LA,,,,2026,Spring,2026-sp,3.84
CWL 209,,Jewish American and US Minority Literatures in Dialogue,,US,,LA,,,,2026,Spring,2026-sp,
CWL 210,,Introduction to Modern African Literature,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 211,,The Arab-Israeli Conflict,,WCC,,LA,,,,2026,Spring,2026-sp,3.13
CWL 212,,Israeli Cinema and Television,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 215,,"Madness, Myth, and Murder",,,,LA,,,,2026,Spring,2026-sp,
CWL 216,,Legends of King Arthur,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 217,,Classical Chinese Lit,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 220,,Exploring the Greek and Roman World,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 223,,The Qur'an (Koran),,NW,,LA,,,,2026,Spring,2026-sp,
CWL 225,,Constr Afr and Carib Identity,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 226,,Humanist Persp of Afro-Am Exp,,US,,LA,,,,2026,Spring,2026-sp,
CWL 227,,Golden Age of Russian Literature,ACP,,,LA,,,,2026,Spring,2026-sp,
CWL 230,,Popular Cultures of Contemporary East Asia,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 240,,Italy Middle Ages & Renaiss,,,,LA,,,,2026,Spring,2026-sp,
CWL 241,,Early Masterpieces of Western Culture,ACP,WCC,,LA,,,,2026,Spring,2026-sp,3.57
CWL 242,,Modern Masterpieces of Western Culture,ACP,WCC,,LA,,,,2026,Spring,2026-sp,3.39
CWL 249,,Soviet and Post-Soviet Lit,,,,LA,,,,2026,Spring,2026-sp,
CWL 252,,Viking Sagas in Translation,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 253,,Medieval Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 254,,Grimm's Fairy Tales in Context,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 255,,Renaissance Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 257,,Enlightenment Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 262,,Gender & Sexuality in Greco-Roman Antiquity,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 263,,Odysseus and Other Heroes,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 267,,The Short Story,,,,LA,,,,2026,Spring,2026-sp,
CWL 272,,Sexuality and Literature,,,,LA,,,,2026,Spring,2026-sp,
CWL 273,,The Holocaust in Context,,WCC,,LA,,,,2026,Spring,2026-sp,
CWL 275,,Masterpieces of East Asian Lit,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 276,,Asian Film Genres,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 283,,Jewish Sacred Literature,,,,LA,,,,2026,Spring,2026-sp,
CWL 311,,Japan Lit in Translation I,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 312,,Japan Lit in Translation II,,NW,,LA,,,,2026,Spring,2026-sp,
CWL 320,,Responses to the Holocaust,,WCC,,LA,,,,2026,Spring,2026-sp,2.91
CWL 322,,The Comic Imagination,ACP,WCC,,LA,,,,2026,Spring,2026-sp,
DANC 100,,Intro to Contemporary Dance,,WCC,,LA,,,,2026,Spring,2026-sp,3.71
DANC 200,,Explore Music through Dance,,,,LA,,,,2026,Spring,2026-sp,3.62
EALC 207,,Classical Chinese Lit,,NW,,LA,,,,2026,Spring,2026-sp,3.63
EALC 208,,Chinese Cinema,,NW,,LA,,,,2026,Spring,2026-sp,3.68
EALC 212,,East Asian Art History,,NW,,LA,,,,2026,Spring,2026-sp,2.9
EALC 230,,Popular Cultures of Contemporary East Asia,,NW,,LA,,,,2026,Spring,2026-sp,3.77
EALC 275,,Masterpieces of East Asian Lit,,NW,,LA,,,,2026,Spring,2026-sp,3.47
EALC 276,,Asian Film Genres,,NW,,LA,,,,2026,Spring,2026-sp,
EALC 305,,Japan Lit in Translation I,,NW,,LA,,,,2026,Spring,2026-sp,3.41
EALC 306,,Japan Lit in Translation II,,NW,,LA,,,,2026,Spring,2026-sp,3.34
ENGL 101,,Intro to Poetry,,,,LA,,,,2026,Spring,2026-sp,3.32
ENGL 103,,Intro to Fiction,,,,LA,,,,2026,Spring,2026-sp,3.25
ENGL 104,,Introduction to Film,,,,LA,,,,2026,Spring,2026-sp,3.3
ENGL 109,,Intro to Fiction-ACP,ACP,,,LA,,,,2026,Spring,2026-sp,3.48
ENGL 114,,Bible as Literature,,,,LA,,,,2026,Spring,2026-sp,
ENGL 115,,Intro to British Literature,,WCC,,LA,,,,2026,Spring,2026-sp,3.6
ENGL 116,,Introduction to American Literature,,WCC,,LA,,,,2026,Spring,2026-sp,3.53
ENGL 117,,Shakespeare on Film,,,,LA,,,,2026,Spring,2026-sp,3.87
ENGL 119,,Literature of Fantasy,,,,LA,,,,2026,Spring,2026-sp,3.43
ENGL 120,,Science Fiction,,,,LA,,,,2026,Spring,2026-sp,3.52
ENGL 122,,The Middle Ages in Popular Culture,,,,LA,,,,2026,Spring,2026-sp,3.49
ENGL 150,,Black Literature in America,,US,,LA,,,,2026,Spring,2026-sp,
ENGL 200,,Introduction to the Study of Literature and Culture,,,,LA,,,,2026,Spring,2026-sp,3.5
ENGL 202,,Medieval Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.42
ENGL 204,,Renaissance Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.48
ENGL 206,,Enlightenment Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.46
ENGL 207,,Romantic Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.39
ENGL 208,,Victorian Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.41
ENGL 209,,Early British Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
ENGL 210,,Modern British Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.42
ENGL 211,,Introduction to Modern African Literature,,NW,,LA,,,,2026,Spring,2026-sp,
ENGL 213,,Modernist Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.33
ENGL 216,,Legends of King Arthur,,WCC,,LA,,,,2026,Spring,2026-sp,3.56
ENGL 218,,Introduction to Shakespeare,,,,LA,,,,2026,Spring,2026-sp,3.54
ENGL 219,,Literature and Medicine,,,,LA,,,,2026,Spring,2026-sp,3.5
ENGL 220,,Literature and Science,,,,LA,,,,2026,Spring,2026-sp,3.58
ENGL 222,,Jewish American and US Minority Literatures in Dialogue,,US,,LA,,,,2026,Spring,2026-sp,
ENGL 225,,Intro to Latina/o Literature,,US,,LA,,,,2026,Spring,2026-sp,
ENGL 245,,The Short Story,,,,LA,,,,2026,Spring,2026-sp,3.49
ENGL 247,,The British Novel,,WCC,,LA,,,,2026,Spring,2026-sp,3.4
ENGL 250,,Nineteenth-Century American Fiction,,WCC,,LA,,,,2026,Spring,2026-sp,3.55
ENGL 251,,The Twentieth-Century American Novel,,WCC,,LA,,,,2026,Spring,2026-sp,3.43
ENGL 253,,Topics in Literature and New Media,,,,LA,,,,2026,Spring,2026-sp,3.44
ENGL 255,,Early American Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
ENGL 265,,Intro to American Indian Lit,,US,,LA,,,,2026,Spring,2026-sp,
ENGL 266,,Grimm's Fairy Tales in Context,,WCC,,LA,,,,2026,Spring,2026-sp,
ENGL 269,,The Holocaust in Context,,WCC,,LA,,,,2026,Spring,2026-sp,
ENGL 270,,American Film Genres,,,,LA,,,,2026,Spring,2026-sp,3.36
ENGL 275,,Am Indian and Indigenous Film,,US,,LA,,,,2026,Spring,2026-sp,
ENGL 276,,Asian Film Genres,,NW,,LA,,,,2026,Spring,2026-sp,3.46
ENGL 285,,Postcolonial Literature in English,,NW,,LA,,,,2026,Spring,2026-sp,3.61
ENGL 286,,Asian American Literature,,US,,LA,,,,2026,Spring,2026-sp,3.35
ENGL 359,,Responses to the Holocaust,,WCC,,LA,,,,2026,Spring,2026-sp,
FAA 102,,Design Beyond Boundaries,,,,LA,,,,2026,Spring,2026-sp,3.24
FAA 110,,Exploring Arts and Creativity,,,,LA,,,,2026,Spring,2026-sp,3.95
FAA 201,,Black Arts Today,,US,,LA,,,,2026,Spring,2026-sp,3.23
FR 156,,Exploring Paris,,WCC,,LA,,,,2026,Spring,2026-sp,3.66
FR 240,,Constr Afr and Carib Identity,,NW,,LA,,,,2026,Spring,2026-sp,
GER 201,,German Popular Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.43
GER 251,,Grimm's Fairy Tales in Context,,WCC,,LA,,,,2026,Spring,2026-sp,3.51
GER 261,,The Holocaust in Context,,WCC,,LA,,,,2026,Spring,2026-sp,3.64
GER 270,,Sexuality and Literature,,,,LA,,,,2026,Spring,2026-sp,3.62
GRKM 260,,Decolonizing the Body: Eros and the Erotic in the Poetry of C.P. Cavafy,,WCC,,LA,,,,2026,Spring,2026-sp,
GWS 240,,Gender & Sexuality in Greco-Roman Antiquity,,WCC,,LA,,,,2026,Spring,2026-sp,
GWS 270,,Sexuality and Literature,,,,LA,,,,2026,Spring,2026-sp,
HIST 254,,Vikings to Volvos: Scandinavia,,WCC,,LA,,,,2026,Spring,2026-sp,
IS 312,,Reading and Writing Data,ACP,,,LA,,,,2026,Spring,2026-sp,3.7
ITAL 156,,Exploring Rome: History and Culture of the Eternal City,,WCC,,LA,,,,2026,Spring,2026-sp,3.33
ITAL 240,,Italy Middle Ages & Renaiss,,,,LA,,,,2026,Spring,2026-sp,3.58
ITAL 270,,Introduction to Italian Cinema,,,,LA,,,,2026,Spring,2026-sp,
JS 209,,Jewish American and US Minority Literatures in Dialogue,,US,,LA,,,,2026,Spring,2026-sp,3.52
JS 211,,The Arab-Israeli Conflict,,WCC,,LA,,,,2026,Spring,2026-sp,
JS 212,,Israeli Cinema and Television,,WCC,,LA,,,,2026,Spring,2026-sp,
JS 261,,The Holocaust in Context,,WCC,,LA,,,,2026,Spring,2026-sp,
JS 320,,Responses to the Holocaust,,WCC,,LA,,,,2026,Spring,2026-sp,
LAST 240,,Constr Afr and Carib Identity,,NW,,LA,,,,2026,Spring,2026-sp,
LLS 242,,Intro to Latina/o Literature,,US,,LA,,,,2026,Spring,2026-sp,3.33
LLS 246,,Gender & Sexuality in Latina/o Literature,,US,,LA,,,,2026,Spring,2026-sp,
LLS 248,,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers",,US,,LA,,,,2026,Spring,2026-sp,
LLS 250,,Latina/os on the Bronze Screen,,US,,LA,,,,2026,Spring,2026-sp,3.61
MACS 100,,Intro to Popular TV & Movies,,WCC,,LA,,,,2026,Spring,2026-sp,3.65
MACS 104,,Introduction to Film,,,,LA,,,,2026,Spring,2026-sp,
MACS 117,,Shakespeare on Film,,,,LA,,,,2026,Spring,2026-sp,
MACS 203,,Contemporary Movies,,,,LA,,,,2026,Spring,2026-sp,3.54
MACS 207,,Indian Cinema in Context,,NW,,LA,,,,2026,Spring,2026-sp,
MACS 250,,Latina/os on the Bronze Screen,,US,,LA,,,,2026,Spring,2026-sp,
MACS 261,,Survey of World Cinema I,,WCC,,LA,,,,2026,Spring,2026-sp,3.11
MACS 262,,Survey of World Cinema II,,WCC,,LA,,,,2026,Spring,2026-sp,3.2
MACS 275,,Am Indian and Indigenous Film,,US,,LA,,,,2026,Spring,2026-sp,
MDVL 122,,The Middle Ages in Popular Culture,,,,LA,,,,2026,Spring,2026-sp,
MDVL 201,,Medieval Literature and Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
MDVL 216,,Legends of King Arthur,,WCC,,LA,,,,2026,Spring,2026-sp,
MDVL 240,,Italy Middle Ages & Renaiss,,,,LA,,,,2026,Spring,2026-sp,
MDVL 252,,Viking Sagas in Translation,,WCC,,LA,,,,2026,Spring,2026-sp,
MUS 130,,Music Then and Now,,WCC,,LA,,,,2026,Spring,2026-sp,3.44
MUS 132,,Popular Music Studies,,US,,LA,,,,2026,Spring,2026-sp,3.62
MUS 133,,Introduction to World Music,,NW,,LA,,,,2026,Spring,2026-sp,3.56
MUS 313,,The History of Music I,,,,LA,,,,2026,Spring,2026-sp,3.03
MUS 314,,The History of Music II,,,,LA,,,,2026,Spring,2026-sp,3.17
POL 115,,Intro to Polish Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.74
REES 115,,Intro to Polish Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
REES 116,,Intro to Russian Culture,,WCC,,LA,,,,2026,Spring,2026-sp,
REL 101,,Bible as Literature,,,,LA,,,,2026,Spring,2026-sp,3.35
REL 208,,Cultures & Literatures of South Asia,,NW,,LA,,,,2026,Spring,2026-sp,3.93
REL 223,,The Qur'an (Koran),,NW,,LA,,,,2026,Spring,2026-sp,3.6
REL 260,,Mystics and Saints in Islam,,NW,,LA,,,,2026,Spring,2026-sp,3.89
REL 283,,Jewish Sacred Literature,,,,LA,,,,2026,Spring,2026-sp,
REL 320,,Responses to the Holocaust,,WCC,,LA,,,,2026,Spring,2026-sp,
RUSS 115,,Intro to Russian Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.61
RUSS 220,,Golden Age of Russian Literature,ACP,,,LA,,,,2026,Spring,2026-sp,3.05
RUSS 225,,Soviet and Post-Soviet Lit,,,,LA,,,,2026,Spring,2026-sp,2.95
RUSS 260,,Medicine & Literature,,,,LA,,,,2026,Spring,2026-sp,
SAME 208,,Cultures & Literatures of South Asia,,NW,,LA,,,,2026,Spring,2026-sp,
SAME 211,,The Arab-Israeli Conflict,,WCC,,LA,,,,2026,Spring,2026-sp,
SAME 212,,Israeli Cinema and Television,,WCC,,LA,,,,2026,Spring,2026-sp,
SAME 223,,The Qur'an (Koran),,NW,,LA,,,,2026,Spring,2026-sp,
SAME 260,,Mystics and Saints in Islam,,NW,,LA,,,,2026,Spring,2026-sp,
SCAN 215,,"Madness, Myth, and Murder",,,,LA,,,,2026,Spring,2026-sp,3.19
SCAN 225,,Vikings to Volvos: Scandinavia,,WCC,,LA,,,,2026,Spring,2026-sp,3.55
SCAN 252,,Viking Sagas in Translation,,WCC,,LA,,,,2026,Spring,2026-sp,3.39
SLAV 117,,Russ & E Euro Science Fiction,,,,LA,,,,2026,Spring,2026-sp,3.64
SLCL 110,,Introduction to Intercultural Competence,,WCC,,LA,,,,2026,Spring,2026-sp,3.93
SPAN 242,,Intro to Latina/o Literature,,US,,LA,,,,2026,Spring,2026-sp,
SPAN 246,,Gender & Sexuality in Latina/o Literature,,US,,LA,,,,2026,Spring,2026-sp,3.64
SPAN 248,,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers",,US,,LA,,,,2026,Spring,2026-sp,3.64
THEA 101,,Introduction to Theatre Arts,,,,LA,,,,2026,Spring,2026-sp,3.58
THEA 110,,Broadway Musicals,,WCC,,LA,,,,2026,Spring,2026-sp,3.68
THEA 122,,Theatre Foundations: Theory and Practice,,,,LA,,,,2026,Spring,2026-sp,3.62
THEA 208,,21st Century Dramaturgy,,,,LA,,,,2026,Spring,2026-sp,3.69
THEA 209,,Writing Performance & Culture,ACP,WCC,,LA,,,,2026,Spring,2026-sp,
THEA 323,,The Comic Imagination,ACP,WCC,,LA,,,,2026,Spring,2026-sp,
TRST 201,,Intro to Translation Studies,,,,LA,,,,2026,Spring,2026-sp,3.37
UKR 113,,Ukrainian Culture,,WCC,,LA,,,,2026,Spring,2026-sp,3.79
YDSH 320,,Responses to the Holocaust,,WCC,,LA,,,,2026,Spring,2026-sp,3.43
AAS 200,,U.S. Race and Empire,,US,,HP,,,,2026,Spring,2026-sp,3.58
AAS 215,,US Citizenship Comparatively,,US,,HP,,,,2026,Spring,2026-sp,3.46
AAS 281,,Constructing Race in America,,US,,HP,,,,2026,Spring,2026-sp,
AAS 283,,Asian American History,,US,,HP,,,,2026,Spring,2026-sp,
ACES 179,,History of Ag in IL Since 1860,,US,,HP,,,,2026,Spring,2026-sp,3.16
ADV 212,,Advertising History,,,,HP,,,,2026,Spring,2026-sp,
AFAS 120,,Intro to US Armed Forces,,,,HP,,,,2026,Spring,2026-sp,
AFRO 101,,"Black America, 1619-Present",,US,,HP,,,,2026,Spring,2026-sp,2.98
AFRO 106,,Hist Arch Americas,,US,,HP,,,,2026,Spring,2026-sp,
AFRO 215,,US Citizenship Comparatively,,US,,HP,,,,2026,Spring,2026-sp,
AFRO 221,,History of the Prison,,WCC,,HP,,,,2026,Spring,2026-sp,
AFRO 261,,Intro to the African Diaspora,,US,,HP,,,,2026,Spring,2026-sp,3.35
AFRO 275,,Afro-American History to 1877,,US,,HP,,,,2026,Spring,2026-sp,
AFRO 276,,African American History Since 1877,,US,,HP,,,,2026,Spring,2026-sp,
AFRO 281,,Constructing Race in America,,US,,HP,,,,2026,Spring,2026-sp,
AFRO 340,,Dancing Black Popular Culture,ACP,US,,HP,,,,2026,Spring,2026-sp,
AFST 111,,History of Africa to 1800,,NW,,HP,,,,2026,Spring,2026-sp,
AFST 112,,History of Africa from 1800,,NW,,HP,,,,2026,Spring,2026-sp,
AFST 213,,African Muslim Societies,,NW,,HP,,,,2026,Spring,2026-sp,
AIS 101,,Intro to American Indian Studies,,US,,HP,,,,2026,Spring,2026-sp,3.49
AIS 277,,Encounters in Native America,,US,,HP,,,,2026,Spring,2026-sp,
AIS 278,,Native American History,,US,,HP,,,,2026,Spring,2026-sp,
AIS 285,,Indigenous Thinkers,,NW,,HP,,,,2026,Spring,2026-sp,3.59
AIS 288,,American Indians of Illinois,,US,,HP,,,,2026,Spring,2026-sp,
AIS 295,,US Citizenship Comparatively,,US,,HP,,,,2026,Spring,2026-sp,
ANSC 255,,Animal Ethics,,,,HP,,,,2026,Spring,2026-sp,3.81
ANTH 105,,World Archaeology,,,,HP,,,,2026,Spring,2026-sp,3.22
ANTH 106,,Hist Arch Americas,,US,,HP,,,,2026,Spring,2026-sp,3.52
ANTH 108,,Religion & Society in West I,,WCC,,HP,,,,2026,Spring,2026-sp,
ANTH 109,,Religion & Society in West II,,WCC,,HP,,,,2026,Spring,2026-sp,
ANTH 130,,History of South Asia,,NW,,HP,,,,2026,Spring,2026-sp,
ANTH 157,,The Archaeology of Illinois,,,,HP,,,,2026,Spring,2026-sp,3.22
ANTH 175,,Archaeology and Pop Culture,,,,HP,,,,2026,Spring,2026-sp,3.25
ANTH 261,,Intro to the African Diaspora,,US,,HP,,,,2026,Spring,2026-sp,
ANTH 268,,Images of the Other,ACP,WCC,,HP,,,,2026,Spring,2026-sp,3.14
ANTH 288,,American Indians of Illinois,,US,,HP,,,,2026,Spring,2026-sp,3.46
ARCH 222,,Islamic Gardens & Architecture,,NW,,HP,,,,2026,Spring,2026-sp,
ARCH 314,,History of World Landscapes,ACP,WCC,,HP,,,,2026,Spring,2026-sp,3.82
ARTH 219,,Islamic Gardens & Architecture,,NW,,HP,,,,2026,Spring,2026-sp,
ARTJ 302,,Intro to Japanese Animation,,NW,,HP,,,,2026,Spring,2026-sp,3.77
ASST 104,,Asian Mythology,,NW,,HP,,,,2026,Spring,2026-sp,
CLCV 116,,Introduction to Ancient Roman Culture,,WCC,,HP,,,,2026,Spring,2026-sp,3.37
CLCV 131,,"Classical Archaeology, Greece",,WCC,,HP,,,,2026,Spring,2026-sp,3.33
CLCV 132,,"Class Archaeology, Rome-Italy",,WCC,,HP,,,,2026,Spring,2026-sp,3.12
CLCV 133,,Archaeology of Israel,,WCC,,HP,,,,2026,Spring,2026-sp,3.82
CLCV 160,,Ancient Greek & Roman Religion,,WCC,,HP,,,,2026,Spring,2026-sp,3.38
CLCV 203,,Ancient Philosophy,,,,HP,,,,2026,Spring,2026-sp,
CLCV 231,,Development of Ancient Cities,,WCC,,HP,,,,2026,Spring,2026-sp,3.61
CLCV 250,,Sports and Society in Greece and Rome,,WCC,,HP,,,,2026,Spring,2026-sp,3.72
CMN 210,,Public Communication in Everyday Life,,WCC,,HP,,,,2026,Spring,2026-sp,3.26
CWL 251,,Viking Mythology,,WCC,,HP,,,,2026,Spring,2026-sp,
DANC 340,,Dancing Black Popular Culture,ACP,US,,HP,,,,2026,Spring,2026-sp,3.36
EALC 120,,East Asian Civilizations,,NW,,HP,,,,2026,Spring,2026-sp,
EALC 122,,History East Asian Religions,,NW,,HP,,,,2026,Spring,2026-sp,3.65
EALC 132,,Zen,,NW,,HP,,,,2026,Spring,2026-sp,
EALC 220,,Traditional China,,NW,,HP,,,,2026,Spring,2026-sp,
EALC 222,,Chinese Thought and Culture,,NW,,HP,,,,2026,Spring,2026-sp,3.07
EALC 225,,Japanese Religions: Thought and Practice,,NW,,HP,,,,2026,Spring,2026-sp,3.35
EALC 227,,Modern Japanese History,,NW,,HP,,,,2026,Spring,2026-sp,
EALC 287,,Introduction to Buddhism,,NW,,HP,,,,2026,Spring,2026-sp,3.0
EALC 367,,History of Korea,,NW,,HP,,,,2026,Spring,2026-sp,3.9
ECE 316,,Ethics and Engineering,ACP,,,HP,,,,2026,Spring,2026-sp,3.68
EDUC 202,,"Social Justice, School and Society",ACP,,,HP,,,,2026,Spring,2026-sp,3.73
EPOL 380,,Education and Social Justice,,US,,HP,,,,2026,Spring,2026-sp,3.84
ESE 202,,American Environmental History,,WCC,,HP,,,,2026,Spring,2026-sp,
ETMA 311,,Humanity in the Food Web,ACP,,,HP,,,,2026,Spring,2026-sp,3.49
GEOL 201,,History of Geology,ACP,,,HP,,,,2026,Spring,2026-sp,
GER 205,,Germany and Europe,,WCC,,HP,,,,2026,Spring,2026-sp,3.42
GLBL 228,,"Terrorism, Past and Present",,WCC,,HP,,,,2026,Spring,2026-sp,
GWS 215,,US Citizenship Comparatively,,US,,HP,,,,2026,Spring,2026-sp,
GWS 263,,History of Medicine in the United States,,US,,HP,,,,2026,Spring,2026-sp,
GWS 285,,US Gender History to 1877,,US,,HP,,,,2026,Spring,2026-sp,
HIST 100,,Global History,,NW,,HP,,,,2026,Spring,2026-sp,3.41
HIST 103,,A History of Everything: The Big Bang to Big Data,,WCC,,HP,,,,2026,Spring,2026-sp,3.52
HIST 104,,Black Music,,US,,HP,,,,2026,Spring,2026-sp,3.67
HIST 105,,Latin America to Independence,,NW,,HP,,,,2026,Spring,2026-sp,3.36
HIST 106,,Modern Latin America,,NW,,HP,,,,2026,Spring,2026-sp,3.27
HIST 111,,History of Africa to 1800,,NW,,HP,,,,2026,Spring,2026-sp,3.44
HIST 112,,History of Africa from 1800,,NW,,HP,,,,2026,Spring,2026-sp,3.19
HIST 120,,East Asian Civilizations,,NW,,HP,,,,2026,Spring,2026-sp,3.22
HIST 130,,History of South Asia,,NW,,HP,,,,2026,Spring,2026-sp,3.38
HIST 135,,History of Islamic Middle East,,NW,,HP,,,,2026,Spring,2026-sp,3.16
HIST 140,,Western Worlds: Ancient and Medieval Societies from the Mediterranean to N. Europe (ACP),ACP,WCC,,HP,,,,2026,Spring,2026-sp,
HIST 141,,Western Worlds: Ancient and Medieval Societies from the Mediterranean to Northern Europe,,WCC,,HP,,,,2026,Spring,2026-sp,3.04
HIST 142,,Modern Europe and the World,,WCC,,HP,,,,2026,Spring,2026-sp,3.24
HIST 143,,Modern Europe and the World - ACP,ACP,WCC,,HP,,,,2026,Spring,2026-sp,
HIST 164,,The Automobile,,WCC,,HP,,,,2026,Spring,2026-sp,3.35
HIST 168,,A History of Judaism,ACP,,,HP,,,,2026,Spring,2026-sp,
HIST 170,,US History to 1877-ACP,ACP,US,,HP,,,,2026,Spring,2026-sp,3.38
HIST 171,,US History to 1877,,US,,HP,,,,2026,Spring,2026-sp,3.29
HIST 172,,US History Since 1877,,US,,HP,,,,2026,Spring,2026-sp,3.29
HIST 173,,US History Since 1877-ACP,ACP,US,,HP,,,,2026,Spring,2026-sp,
HIST 174,,"Black America, 1619-Present",,US,,HP,,,,2026,Spring,2026-sp,
HIST 202,,American Environmental History,,WCC,,HP,,,,2026,Spring,2026-sp,3.01
HIST 203,,Reacting to the Past,,,,HP,,,,2026,Spring,2026-sp,3.63
HIST 205,,Lived Experience in Latin America,,NW,,HP,,,,2026,Spring,2026-sp,3.59
HIST 207,,Digital Documentary Publishing,,,,HP,,,,2026,Spring,2026-sp,3.6
HIST 209,,World War II: A Global History,,WCC,,HP,,,,2026,Spring,2026-sp,3.87
HIST 211,,History of Southern Africa,,NW,,HP,,,,2026,Spring,2026-sp,3.49
HIST 212,,History of Eastern Africa,,NW,,HP,,,,2026,Spring,2026-sp,3.2
HIST 213,,African Muslim Societies,,NW,,HP,,,,2026,Spring,2026-sp,3.49
HIST 219,,History of the Prison,,WCC,,HP,,,,2026,Spring,2026-sp,
HIST 220,,Traditional China,,NW,,HP,,,,2026,Spring,2026-sp,3.01
HIST 222,,Chinese Thought and Culture,,NW,,HP,,,,2026,Spring,2026-sp,2.71
